x_geometry,x_objectid_1,x_id,x_name,x_telephone,x_address,x_address2,x_city,x_state,x_zip,x_zipp4,x_county,x_fips,x_directions,x_emergtitle,x_emergtel,x_emergext,x_contdate,x_conthow,x_geodate,x_geohow,x_hsipthemes,x_naicscode,x_naicsdescr,x_geolinkid,x_x,x_y,x_st_vendor,x_st_version,x_geoprec,x_phoneloc,x_qc_qa,x_port_type,x_bordpatsec,x_contact,x_fax_number,x_hours_oper,x_remark,x_ruleid,x_objectid
POINT (-122.394734492 47.2603661983),295,11550080,"TACOMA PORT OF ENTRY, PORT OF TACOMA",253-593-6336,2202 PORT OF TACOMA ROAD,,TACOMA,WA,98421,3604,PIERCE,53053,,,,,2009-09-16T00:00:00.000Z,ALT REF,2009-09-16T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,779549175,-122.394734,47.260366,NAVTEQ,2009Q2,ONENTITY,,TGS,WATER PORT,,PORT DIRECTOR,253-593-6351,8:00 AM - 5:00 PM,,1,198
POINT (-73.148402829 44.4632555127),296,11550073,"BURLINGTON INTERNATIONAL AIRPORT PORT OF ENTRY, BURLINGTON INTERNATIONAL AIRPORT",802-864-5181,271 AVIATION AVENUE,SUITE 1,SOUTH BURLINGTON,VT,05403,6087,CHITTENDEN,50007,,,,,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,110390907,-73.148403,44.463256,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,802-863-8270,24 HOURS,,1,191
POINT (-79.936536272 36.1053119558),19,11550114,"WINSTON-SALEM PORT OF ENTRY, PIEDMONT TRIAD INTERNATIONAL AIRPORT",336-668-7272,6415 BRYAN BOULEVARD,,GREENSBORO,NC,27409,9449,GUILFORD,37081,,,,,2009-09-15T00:00:00.000Z,PHONE,2009-09-21T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,721680471,-79.936536,36.105312,NAVTEQ,2009Q2,ONENTITY,NO,TGS,AIRPORT,,PORT DIRECTOR,336-668-7364,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,117
POINT (-80.6064703272 28.4053696775),20,11549983,"CAPE CANAVERAL PORT OF ENTRY, PORT CANAVERAL",321-783-2066,120 GEORGE J KING BOULEVARD,,CAPE CANAVERAL,FL,32920,3302,BREVARD,12009,,,,,2009-09-16T00:00:00.000Z,PHONE,2009-09-16T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,117117153,-80.60647,28.40537,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT,,PORT DIRECTOR,321-799-5474,8:00 AM - 5:00 PM,,1,39
POINT (-88.8771634006 39.833129478),297,11550046,"DECATUR PORT OF ENTRY, DECATUR AIRPORT",217-425-4803,900 SOUTH AIRPORT ROAD,,DECATUR,IL,62521,4287,MACON,17115,,,,,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,716230733,-88.877163,39.833129,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,217-425-4806,M-F 9-5,,1,70
POINT (-85.1970875848 35.037453112),298,11550163,"CHATTANOOGA PORT OF ENTRY, CHATTANOOGA METROPOLITAN AIRPORT",423-855-2202,1001 AIRPORT ROAD,,CHATTANOOGA,TN,37421,2271,HAMILTON,47065,,,,,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,732495274,-85.197088,35.037453,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,423-855-6627,8:00 AM - 5:00 PM,,1,169
POINT (-121.59171471 38.6936842566),21,11549966,"SACRAMENTO PORT OF ENTRY, SACRAMENTO INTERNATIONAL AIRPORT",916-649-3671,6910 AIRPORT BOULEVARD,,SACRAMENTO,CA,95837,1130,SACRAMENTO,06067,,,,,2009-09-15T00:00:00.000Z,PHONE,2009-09-15T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,24445539,-121.591715,38.693684,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,PORT DIRECTOR,,,,1,214
POINT (-87.1631826969 37.7464315445),22,11550053,"OWENSBORO / EVANSVILLE PORT OF ENTRY, OWENSBORO DAVIESS COUNTY REGIONAL AIRPORT",270-685-4179,2200 AIRPORT ROAD,,OWENSBORO,KY,42301,9488,DAVIESS,21059,,,,,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,778617345,-87.163183,37.746431,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,812-465-6413,,,1,77
POINT (-81.0582791803 29.1846826312),299,11549985,"DAYTONA BEACH PORT OF ENTRY, DAYTONA BEACH INTERNATIONAL AIRPORT",386-248-8043,720 CATALINA DRIVE,,DAYTONA BEACH,FL,32114,3837,VOLUSIA,12127,,,,,2009-09-16T00:00:00.000Z,ALT REF,2009-09-16T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,122676154,-81.058279,29.184683,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,904-248-8044,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,2
POINT (-97.0449358517 32.8976457642),300,11550171,"DALLAS-FORT WORTH PORT OF ENTRY, DALLAS-FORT WORTH INTERNATIONAL AIRPORT",972-870-7460,7501 ESTERS BOULEVARD,SUITE 160,IRVING,TX,75063,4027,TARRANT,48439,,,,,2009-09-14T00:00:00.000Z,ALT REF,2009-09-14T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,122926003,-97.044936,32.897646,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,972-574-4818,8:30 AM - 5:00 PM,,1,177
POINT (-64.9714989748 18.3352470834),23,11553125,"CHARLOTTE AMALIE AREA PORT OF SAINT THOMAS PORT OF ENTRY, CYRIL E KING AIRPORT",340-774-4554,AIRPORT ROAD,,CHARLOTTE AMALIE,VI,00802,,ST THOMAS ISLAND,78030,,,,,2009-09-17T00:00:00.000Z,PHONE,2009-09-17T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,120296425,-64.971499,18.335247,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,,,,,0,0
POINT (-122.873590742 42.369400532),24,11550141,"PORT OF ENTRY AT MEDFORD, ROGUE VALLEY INTERNATIONAL-MEDFORD AIRPORT",541-776-7222,1000 TERMINAL LOOP PARKWAY,,MEDFORD,OR,97504,,JACKSON,41029,,,,,2009-09-17T00:00:00.000Z,ALT REF,2009-09-17T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,721477731,-122.873591,42.3694,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,,8:00AM - 4:30PM,EMERGENCY 24 HOUR CONTACT NUMBER (503)326-3515,1,146
