geometry,objectid,id,name,address,city,state,zip,zip4,telephone,type,status,population,county,countyfips,country,latitude,longitude,naics_code,naics_desc,source,sourcedate,val_method,val_date,website,state_id,alt_name,st_fips,owner,ttl_staff,beds,trauma,helipad
POINT (-71.224077232 42.206504148),14521,0013602090,WESTWOOD/PEMBROKE HEALTH SYSTEM WESTWOOD,45 CLAPBOARDTREE STREET,WESTWOOD,MA,02090,NOT AVAILABLE,(781) 762-7764,PSYCHIATRIC,OPEN,89,NORFOLK,25021,USA,42.206504,-71.224077,622210,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.mass.gov/eohhs/gov/departments/dph/programs/hospitals/western-massachusetts-hospital.html,2017,NOT AVAILABLE,25,PROPRIETARY,-999,89,NOT AVAILABLE,N
POINT (-71.07317637 42.778546964),14522,0011601830,WHITTIER PAVILION,76 SUMMER STREET,HAVERHILL,MA,01830,NOT AVAILABLE,(978) 373-8222,PSYCHIATRIC,OPEN,10,ESSEX,25009,USA,42.778547,-71.073176,622210,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY,2018-03-19T00:00:00.000Z,http://www.whittierhealth.com/psychiatric_hospital/,2XOB,NOT AVAILABLE,25,PROPRIETARY,-999,10,NOT AVAILABLE,N
POINT (-71.567841777 42.276479672),14523,0013401581,WHITTIER REHABILITATION HOSPITAL,150 FLANDERS RD,WESTBOROUGH,MA,01581,NOT AVAILABLE,(508) 870-2222,REHABILITATION,OPEN,88,WORCESTER,25027,USA,42.27648,-71.567842,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY,2018-03-19T00:00:00.000Z,http://www.whittierhealth.com/rehabilitation_hospitals/westborough.html,293Q,NOT AVAILABLE,25,PROPRIETARY,-999,88,NOT AVAILABLE,NOT AVAILABLE
POINT (-71.11889838 42.761619082),14524,0011701830,WHITTIER REHABILITATION HOSPITAL BRADFORD,145 WARD HILL AVE,HAVERHILL,MA,01830,NOT AVAILABLE,(978) 372-8000,REHABILITATION,OPEN,60,ESSEX,25009,USA,42.761619,-71.118898,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.whittierhealth.com/rehabilitation_hospitals/bradford.html,2292,NOT AVAILABLE,25,PROPRIETARY,-999,60,NOT AVAILABLE,N
POINT (-71.7617 42.2778),14525,0005401655,UMASS MEMORIAL MEDICAL CENTER - UNIVERSITY CAMPUS,55 LAKE AVENUE NORTH,WORCESTER,MA,01655,NOT AVAILABLE,(508) 334-1000,GENERAL ACUTE CARE,OPEN,431,WORCESTER,25027,USA,42.2778,-71.7617,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.umassmemorial.org,2841,UMASS MEDICAL SCHOOL,25,NON-PROFIT,-999,431,NOT AVAILABLE,Y
POINT (-71.769066943 42.279667187),14526,0013925027,WORCESTER RECOVERY CENTER AND HOSPITAL,309 BELMONT STREET,WORCESTER,MA,01604,NOT AVAILABLE,(508) 752-4681,PSYCHIATRIC,OPEN,166,WORCESTER,25027,USA,42.279667,-71.769067,622210,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.mass.gov/eohhs/gov/departments/dmh/worcester-recovery-center-and-hospital-.html,2818,NOT AVAILABLE,25,GOVERNMENT - STATE,-999,166,NOT AVAILABLE,NOT AVAILABLE
POINT (-72.5923 42.5957),14527,0003101301,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,MA,01301,NOT AVAILABLE,(413) 283-7651,GENERAL ACUTE CARE,OPEN,89,FRANKLIN,25011,USA,42.5957,-72.5923,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.baystatehealth.com/fmc,2120,FRANKLIN MEDICAL CENTER,25,NON-PROFIT,-999,89,NOT AVAILABLE,NOT AVAILABLE
POINT (-71.1051 42.3395),14528,0000502215,BETH ISRAEL DEACONESS MEDICAL CENTER - EAST CAMPUS,330 BROOKLINE AVENUE,BOSTON,MA,02215,NOT AVAILABLE,(617) 667-8000,GENERAL ACUTE CARE,OPEN,268,SUFFOLK,25025,USA,42.3395,-71.1051,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.bidmc.harvard.edu,2069,BETH ISRAEL DEACONESS MED CTR EAST,25,NON-PROFIT,-999,268,LEVEL I,NOT AVAILABLE
POINT (-71.0706 42.337),14529,0001302118,BOSTON MEDICAL CENTER - EAST NEWTON CAMPUS,88 EAST NEWTON STRET,BOSTON,MA,02118,NOT AVAILABLE,(617) 414-5000,GENERAL ACUTE CARE,OPEN,214,SUFFOLK,25025,USA,42.337,-71.0706,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.bmc.org,2084,BOSTON MED CTR - EAST NEWTON CAMPUS,25,NON-PROFIT,-999,214,"LEVEL I, PEDIATRIC I",NOT AVAILABLE
POINT (-71.0732 42.3347),14530,0001102118,BOSTON MEDICAL CENTER - MENINO CAMPUS,818 HARRISON AVENUE,BOSTON,MA,02118,NOT AVAILABLE,(617) 414-5000,GENERAL ACUTE CARE,OPEN,368,SUFFOLK,25025,USA,42.3347,-71.0732,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.smma.com/project/life-science/boston-medical-center-menino-pavilion-formerly-boston-city-hospital-master-plan,2307,BOSTON U MED CTR - HARRISON AVE. CAMPUS,25,NON-PROFIT,-999,368,"LEVEL I, PEDIACTRIC II",Y
POINT (-71.1064 42.3372),14531,0007502115,CHILDREN'S HOSPITAL BOSTON,300 LONGWOOD AVENUE,BOSTON,MA,02115,NOT AVAILABLE,(617) 355-6000,GENERAL ACUTE CARE,OPEN,404,SUFFOLK,25025,USA,42.3372,-71.1064,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.childrenshospital.org/,2139,CHILDREN'S HOSPITAL,25,NON-PROFIT,-999,404,PEDIATRICS I,Y
POINT (-71.1114 42.4259),14532,0003302155,HALLMARK HEALTH SYSTEM - LAWRENCE MEMORIAL HOSPITAL CAMPUS,170 GOVERNORS AVENUE,MEDFORD,MA,02155,NOT AVAILABLE,(781) 306-6000,GENERAL ACUTE CARE,OPEN,98,MIDDLESEX,25017,USA,42.4259,-71.1114,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.hallmarkhealth.org/lawrencememorialmedicalservices.html,2038,LAWRENCE MEMORIAL HOSPITAL,25,NON-PROFIT,-999,98,NOT AVAILABLE,NOT AVAILABLE
POINT (-71.0609 42.4605),14533,0000202176,HALLMARK HEALTH SYSTEM - MELROSE-WAKEFIELD HOSPITAL CAMPUS,585 LEBANON STREET,MELROSE,MA,02176,NOT AVAILABLE,(781) 979-3000,GENERAL ACUTE CARE,OPEN,174,MIDDLESEX,25017,USA,42.4605,-71.0609,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.hallmarkhealth.org/melrose-wakefield.html,2058,MELROSE-WAKEFIELD HOSPITAL,25,NON-PROFIT,-999,174,NOT AVAILABLE,NOT AVAILABLE
POINT (-71.1683 42.7277),14534,0003401844,HOLY FAMILY HOSPITAL AND MEDICAL CENTER,70 EAST STREET,METHUEN,MA,01844,NOT AVAILABLE,(978) 374-2000,GENERAL ACUTE CARE,OPEN,223,ESSEX,25009,USA,42.7277,-71.1683,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,https://www.holyfamily-hospital.org/,2225,HOLY FAMILY HOSPITAL,25,PROPRIETARY,-999,223,NOT AVAILABLE,Y
POINT (-71.1041 42.3745),14535,0006902139,CAMBRIDGE HEALTH ALLIANCE - CAMBRIDGE CAMPUS,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02139,NOT AVAILABLE,(617) 498-1000,GENERAL ACUTE CARE,OPEN,189,MIDDLESEX,25017,USA,42.3745,-71.1041,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.challiance.org/Locations/CambridgeHospitalcampus.aspx,2108,CAMBRIDGE HOSPITAL,25,GOVERNMENT - DISTRICT/AUTHORITY,-999,189,NOT AVAILABLE,NOT AVAILABLE
POINT (-72.6032 42.1217),14536,0004701199,BAYSTATE MEDICAL CENTER,759 CHESTNUT STREET,SPRINGFIELD,MA,01199,NOT AVAILABLE,(413) 794-0000,GENERAL ACUTE CARE,OPEN,724,HAMPDEN,25013,USA,42.1217,-72.6032,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.baystatehealth.org/bmc,2M5H,BAYSTATE MEDICAL CENTER,25,NON-PROFIT,-999,724,"LEVEL I, PEDIATRIC II",Y
POINT (-73.2492 42.46),14537,0004201201,BERKSHIRE MEDICAL CENTER - BERKSHIRE CAMPUS,725 NORTH STREET,PITTSFIELD,MA,01201,NOT AVAILABLE,(413) 447-2000,GENERAL ACUTE CARE,OPEN,298,BERKSHIRE,25003,USA,42.46,-73.2492,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.berkshirehealthsystems.org/BMC,2313,BERKSHIRE MEDICAL CENTER,25,NON-PROFIT,-999,298,LEVEL III,NOT AVAILABLE
POINT (-70.2729 41.6534),14538,0005502601,CAPE COD HOSPITAL,27 PARK STREET,BARNSTABLE,MA,02601,NOT AVAILABLE,(508) 771-1800,GENERAL ACUTE CARE,OPEN,252,BARNSTABLE,25001,USA,41.6534,-70.2729,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.capecodhealth.org/hospitals-facilities/cape-cod-hospital/,2135,CAPE COD HOSPITAL,25,NON-PROFIT,-999,252,NOT AVAILABLE,NOT AVAILABLE
POINT (-72.6532 42.3302),14539,0003901061,COOLEY DICKINSON HOSPITAL,30 LOCUST STREET,NORTHAMPTON,MA,01061,NOT AVAILABLE,(413) 582-2000,GENERAL ACUTE CARE,OPEN,140,HAMPSHIRE,25015,USA,42.3302,-72.6532,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.cooley-dickinson.org,2155,COOLEY DICKINSON HOSPITAL,25,NON-PROFIT,-999,140,NOT AVAILABLE,NOT AVAILABLE
POINT (-71.9871 42.5863),14540,0003001440,HEYWOOD HOSPITAL,242 GREEN STREET,GARDNER,MA,01440,NOT AVAILABLE,(978) 632-3420,GENERAL ACUTE CARE,OPEN,134,WORCESTER,25027,USA,42.5863,-71.9871,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.heywood.org,2036,HEYWOOD HOSPITAL,25,NON-PROFIT,-999,134,NOT AVAILABLE,NOT AVAILABLE
POINT (-71.1501 42.71),14541,0006201842,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,01842,NOT AVAILABLE,(978) 683-4000,GENERAL ACUTE CARE,OPEN,189,ESSEX,25009,USA,42.71,-71.1501,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.lawrencegeneral.org,2099,LAWRENCE GENERAL HOSPITAL,25,NON-PROFIT,-999,189,LEVEL III,Y
POINT (-72.634 42.1659),14542,0001501040,MERCY MEDICAL CENTER - PROVIDENCE BEHAVIORAL HEALTH HOSPITAL CAMPUS,1233 MAIN STREET,HOLYOKE,MA,01040,NOT AVAILABLE,(413) 748-9000,PSYCHIATRIC,OPEN,131,HAMPDEN,25013,USA,42.1659,-72.634,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.mercycares.com/pages.asp?id=514,2150,PROVIDENCE BEHAVIORAL HEALTH HOSPITAL,25,NON-PROFIT,-999,131,NOT AVAILABLE,NOT AVAILABLE
POINT (-71.0448 42.7653),14543,0007601830,MERRIMACK VALLEY HOSPITAL,140 LINCOLN AVENUE,HAVERHILL,MA,01830,NOT AVAILABLE,(978) 374-2000,GENERAL ACUTE CARE,OPEN,122,ESSEX,25009,USA,42.7653,-71.0448,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.steward.org/merrimack-valley,20,MERRIMACK VALLEY HOSPITAL,25,PROPRIETARY,-999,122,NOT AVAILABLE,Y
POINT (-86.62279 32.880286),14544,0167684201,ST VINCENTS CHILTON,2030 LAY DAM ROAD,CLANTON,AL,35046,NOT AVAILABLE,(205) 258-4400,GENERAL ACUTE CARE,OPEN,26,CHILTON,01021,USA,32.880286,-86.62279,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dph1.adph.state.al.us/FacilitiesDirectory,2017-06-28T00:00:00.000Z,IMAGERY,2017-10-02T00:00:00.000Z,http://www.stvhs.com/,H1102,NOT AVAILABLE,01,PROPRIETARY,-999,26,NOT AVAILABLE,NOT AVAILABLE
POINT (-71.3356 42.28),14545,0001601760,METROWEST MEDICAL CENTER - LEONARD MORSE CAMPUS,67 UNION STREET,NATICK,MA,01760,NOT AVAILABLE,(508) 383-1000,GENERAL ACUTE CARE,OPEN,160,MIDDLESEX,25017,USA,42.28,-71.3356,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.mwmc.com,2039,LEONARD MORSE HOSPITAL,25,PROPRIETARY,-999,160,NOT AVAILABLE,NOT AVAILABLE
POINT (-71.0945 41.9062),14546,0004902780,MORTON HOSPITAL AND MEDICAL CENTER,88 WASHINGTON STREET,TAUNTON,MA,02780,NOT AVAILABLE,(508) 828-7000,GENERAL ACUTE CARE,OPEN,125,BRISTOL,25005,USA,41.9062,-71.0945,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.mortonhospital.org,2022,MORTON HOSPITAL AND MEDICAL CENTER,25,NON-PROFIT,-999,125,NOT AVAILABLE,Y
POINT (-71.1343 42.3741),14547,0002602138,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,NOT AVAILABLE,(617) 492-3500,GENERAL ACUTE CARE,OPEN,217,MIDDLESEX,25017,USA,42.3741,-71.1343,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.mountauburnhospital.org,2071,MOUNT AUBURN HOSPITAL,25,NON-PROFIT,-999,217,NOT AVAILABLE,NOT AVAILABLE
POINT (-71.5739 42.5775),14548,0002101432,NASHOBA VALLEY MEDICAL CENTER,200 GROTON ROAD,AYER,MA,01432,NOT AVAILABLE,(978) 784-9000,GENERAL ACUTE CARE,OPEN,77,MIDDLESEX,25017,USA,42.5775,-71.5739,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.nashobamed.com,2298,NASHOBA VALLEY MEDICAL CENTER,25,PROPRIETARY,-999,77,NOT AVAILABLE,Y
POINT (-71.246 42.3312),14549,0003802462,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,02462,NOT AVAILABLE,(617) 243-6000,GENERAL ACUTE CARE,OPEN,265,MIDDLESEX,25017,USA,42.3312,-71.246,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,2018-02-16T00:00:00.000Z,IMAGERY WITH OTHER,2018-03-19T00:00:00.000Z,http://www.nwh.org,2075,NEWTON-WELLESLEY HOSPITAL,25,NON-PROFIT,-999,265,NOT AVAILABLE,NOT AVAILABLE
