geometry,objectid_1,objectid,id,name,telephone,address,address2,city,state,zip,zipp4,county,fips,directions,emergtitle,emergtel,emergext,contdate,conthow,geodate,geohow,hsipthemes,naicscode,naicsdescr,geolinkid,x,y,st_vendor,st_version,geoprec,phoneloc,qc_qa,generator,basement,website,tot_staff,eoc_cap,has_food,med_supp,agenonsite,lvlgovop,fax,source,state_id,email,cont1phone,cont1ext,cont1fax,cont1email,cont2phone,cont2ext,cell,cell2,pager,pager_ext,other,other2,dispatch,pocphone,comments,region,type,permanent,class,coverage,ruleid
POINT (-80.1780354002 26.0480869003),11,2007,10220340,CITY OF HOLLYWOOD EMERGENCY OPERATIONS CENTER,954-967-4248,2741 STIRLING ROAD,FIRE DEPARTMENT STATION 74 - 2ND FLOOR,HOLLYWOOD,FL,33312,6505,BROWARD,12011,NORTH SIDE OF STIRLING ROAD BETWEEN PARK ROAD AND LAKESHORE DRIVE.,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",22481018,-80.178035,26.048087,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,LOCAL,,TGS,,,,,,,,,,,,,,,,,,,,,,,1
POINT (-81.4562378003 31.4087283001),12,2137,10211193,MCINTOSH COUNTY EMERGENCY OPERATIONS CENTER,912-437-6622,12317 STATE HIGHWAY 251,MCINTOSH COUNTY LAW ENFORCEMENT CENTER,DARIEN,GA,31305,,MCINTOSH,13191,,,,,2009-09-01T00:00:00.000Z,PHONE,2009-09-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",123736925,-81.456238,31.408728,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,COUNTY,,GAOHS,,,,,,,,,,,,,,,,,,,,,,,1
POINT (-80.2533820999 26.2730437003),13,2206,10220351,CITY OF CORAL SPRINGS EMERGENCY OPERATIONS CENTER-ALTERNATE,954-344-1000,9551 WEST SAMPLE ROAD,CORAL SPRINGS CITY HALL,CORAL SPRINGS,FL,33065,4182,BROWARD,12011,NORTH SIDE OF WEST SAMPLE ROAD BETWEEN CORAL HILLS DRIVE AND NORTHWEST 94TH AVENUE.,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",23012311,-80.253382,26.273044,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,LOCAL,,TGS,,,,,,,,,,,,,,,,,,,ALTERNATE,,,,1
POINT (-81.6898844001 30.8008482002),14,2251,10211110,CAMDEN COUNTY EMERGENCY MANAGEMENT AGENCY,912-729-5602,131 NORTH LEE STREET,,KINGSLAND,GA,31548,5835,CAMDEN,13039,,,,,2009-09-01T00:00:00.000Z,PHONE,2009-09-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",22751059,-81.689884,30.800848,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,COUNTY,,GAOHS,,,,,,,,,,,,,,,,,,,,,,,1
POINT (-80.7375860998 28.3272236996),15,2293,10211039,BREVARD COUNTY EMERGENCY OPERATIONS CENTER,321-633-1770,1746 CEDAR STREET,,ROCKLEDGE,FL,32955,3133,BREVARD,12009,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",36450073,-80.737586,28.327224,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,HTTP://EMBREVARD.COM/,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_21,,,,,,,,,,,,,,,,,,,,,COUNTY,1
POINT (-81.1448763997 29.1404815001),16,2923,10211082,VOLUSIA COUNTY EMERGENCY MANAGEMENT,386-254-1500,49 KEYTON DRIVE,EMERGENCY MANAGEMENT BUILDING,DAYTONA BEACH,FL,32124,1015,VOLUSIA,12127,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",37890795,-81.144876,29.140481,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_64,,,,,,,,,,,,,,,,,,,,,COUNTY,1
POINT (-80.8351873001 27.2479954999),17,3104,10211068,OKEECHOBEE COUNTY EMERGENCY MANAGEMENT,863-763-3212,499 NORTHWEST FIFTH AVENUE,,OKEECHOBEE,FL,34972,2572,OKEECHOBEE,12093,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",106086505,-80.835187,27.247995,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_50,,,,,,,,,,,,,,,,,,,,,COUNTY,1
POINT (-81.2439026999 29.4720614999),18,3146,10211048,FLAGLER COUNTY DEPARTMENT OF EMERGENCY MANAGEMENT,386-313-4200,1769 EAST MOODY BOULEVARD,BUILDING 3,BUNNELL,FL,32110,5991,FLAGLER,12035,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",106126859,-81.243903,29.472061,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,HTTP://WWW.FLAGLEREMERGENCY.COM/,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_30,,,,,,,,,,,,,,,,,,,,,COUNTY,1
POINT (-81.6870491004 30.0036509996),19,3152,11549515,CLAY COUNTY SHERIFFS OFFICE-ALTERNATE,904-264-6512,901 NORTH ORANGE AVENUE,,GREEN COVE SPRINGS,FL,32043,2527,CLAY,12019,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",105810839,-81.687049,30.003651,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,HTTP://WWW.CLAYSHERIFF.COM/,0,0,,,,COUNTY,,,,,,,,,,,,,,,,,,,,,ALTERNATE,,,,0
POINT (-81.6301315002 30.6127182002),20,3155,10211066,NASSAU COUNTY EMERGENCY OPERATIONS CENTER-ALTERNATE,904-548-4980,76449 VETERANS WAY,,YULEE,FL,32097,,NASSAU,12089,NORTH SIDE OF VETERANS WAY APPROXIMATELY .12 MILES FROM THE INTERSECTION OF NICHOLAS CUTINHA ROAD AND VETERANS WAY.,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",122681597,-81.630132,30.612718,NAVTEQ,2009Q2,ONENTITY,f,TGS,Y,N,,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_48,,,,,,,,,,,,,,,,,,ALTERNATE,,,COUNTY,1
POINT (-81.0976011999 24.7121587998),21,3164,10211065,MONROE COUNTY EMERGENCY OPERATIONS CENTER,305-289-6018,2798 OVERSEAS HIGHWAY,,MARATHON,FL,33050,4277,MONROE,12087,NORTH SIDE OF OVERSEAS HIGHWAY BETWEEN 29TH STREET OCEAN AND 33RD STREET GULF ACROSS FROM 30TH STREET OCEAN.,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",127651980,-81.097601,24.712159,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_47,,,,,,,,,,,,,,,,,,,,,COUNTY,1
POINT (-80.2798522004 25.8267028),22,3192,10220544,CITY OF HIALEAH EMERGENCY OPERATIONS CENTER,305-883-6900,83 EAST 5TH STREET,HIALEAH FIRE DEPARTMENT STATION 1 MEZZANINE,HIALEAH,FL,33010,4834,MIAMI-DADE,12086,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",22506300,-80.279852,25.826703,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,LOCAL,,TGS,,,,,,,,,,,,,,,,,,,,,,,1
POINT (-81.3024284003 28.5944341999),23,3240,10211069,ORANGE COUNTY OFFICE OF EMERGENCY MANAGEMENT-EMERGENCY OPERATIONS CENTER,407-836-9140,6590 AMORY COURT,,WINTER PARK,FL,32792,7426,ORANGE,12095,ENTITY IS ON THE WEST SIDE OF ARMORY COURT APPROXIMATELY .16 MILES WEST FROM THE INTERSECTION OF FORYSYTH ROAD AND ARMORY COURT.,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",22392690,-81.302428,28.594434,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,HTTP://WWW.ORANGECOUNTYFL.NET/CMS/DEPT/OCFRD/OCOEM/DEFAULT.HTM,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_51,,,,,,,,,,,,,,,,,,,,,COUNTY,1
POINT (-81.4214437999 27.4378259002),24,3288,10211054,HIGHLANDS COUNTY EMERGENCY OPERATIONS CENTER,863-402-6741,6850 WEST GEORGE BOULEVARD,,SEBRING,FL,33875,,HIGHLANDS,12055,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",134891691,-81.421444,27.437826,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,WWW.HCEOC.ORG/,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_36,,,,,,,,,,,,,,,,,,,,,COUNTY,1
POINT (-80.2619721002 26.1236985996),25,3289,10211040,BROWARD COUNTY EMERGENCY MANAGEMENT,954-831-3900,201 NORTHWEST 84TH AVENUE,BROWARD COUNTY EMERGENCY OPERATIONS CENTER,PLANTATION,FL,33324,1895,BROWARD,12011,WEST SIDE OF NORTHWEST 84TH AVENUE BETWEEN PARK CENTER PLACE AND BROWARD BOULEVARD.,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",127652311,-80.261972,26.123699,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_22,,,,,,,,,,,,,,,,,,PRIMARY,,,COUNTY,1
POINT (-81.0976299998 26.8331163996),26,3290,10211024,GLADES COUNTY EMERGENCY MANAGEMENT,863-946-6020,500 AVENUE J,GLADES COUNTY COURTHOUSE,MOORE HAVEN,FL,33471,,GLADES,12043,NORTH SIDE OF AVENUE J BETWEEN 6TH STREET AND 5TH STREET.,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",106091139,-81.09763,26.833116,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_06,,,,,,,,,,,,,,,,,,,,,COUNTY,1
POINT (-81.6809510001 29.9883681),27,3317,10211043,CLAY COUNTY EMERGENCY MANAGEMENT,904-284-7703,1 DOCTORS DRIVE,CLAY COUNTY PUBLIC SAFETY HEADQUARTERS,GREEN COVE SPRINGS,FL,32043,4348,CLAY,12019,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",105902454,-81.680951,29.988368,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,HTTP://WWW.CLAYCOUNTYGOV.COM/DEPARTMENTS/PUBLIC_SAFETY/EMERGENCY_MANAGEMENT.HTM,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_25,,,,,,,,,,,,,,,,,,,,,COUNTY,1
POINT (-81.6602643001 30.3311261997),28,3320,10211046,CITY OF JACKSONVILLE EMERGENCY PREPAREDNESS DIVISON,904-630-2472,515 NORTH JULIA STREET,4TH FLOOR,JACKSONVILLE,FL,32202,4128,DUVAL,12031,EAST SIDE OF JULIA STREET BETWEEN WEST CHURCH STREET AND WEST ASHLEY STREET.,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",23024874,-81.660264,30.331126,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,,0,0,,,,LOCAL,,FLDEM,FL_TGS_TEMP_28,,,,,,,,,,,,,,,,,,,,,COUNTY,1
POINT (-81.6940369 26.1053003999),29,3393,10211021,COLLIER COUNTY EMERGENCY MANAGEMENT DEPARTMENT,239-252-3600,8075 LELY CULTURAL PARKWAY,SUITE 445,NAPLES,FL,34113,9005,COLLIER,12021,,,,,2009-08-31T00:00:00.000Z,PHONE,2009-08-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; EMERGENCY SERVICES AND CONTINUITY OF GOVERNMENT; EMERGENCY MANAGEMENT AND OPERATION CENTERS; STATE AND LOCAL OFFICES",922190,"EMERGENCY PLANNING AND MANAGEMENT OFFICES, GOVERNMENT",38417201,-81.694037,26.1053,NAVTEQ,2009Q2,ONENTITY,t,TGS,Y,N,HTTP://WWW.COLLIERGOV.NET/INDEX.ASPX?PAGE=2207,0,0,,,,COUNTY,,FLDEM,FL_TGS_TEMP_03,,,,,,,,,,,,,,,,,,,,,COUNTY,1
