geometry,objectid,fac_name,name,address,city_state,city,state,zip,operating,medicare,medicare_i,medicaid,medicaid_i,certified,county,admin,phone,emergency,emergenc_1,emergenc_2,emergenc_3,date_geoco,source,geo_tract,geo_county,geo_zip,factype,symbol,latitude,longitude,type
POINT (-104.663116 38.2452390003),3011,SANGRE DE CRISTO HOSPICE & PALLIATIVE CARE (170634),SANGRE DE CRISTO HOSPICE & PALLIATIVE CARE,1207 PUEBLO BOULEVARD WAY,"PUEBLO, CO 81005",PUEBLO,CO,81005,01-ACTIVE,t,061510,t,5800164,10/0,PUEBLO,Ms AMY ROSE,(719) 542-0032,Tarrah Schreiner,(719) 251-8111,(719) 542-1486,tarrah.schreiner@socohospice.org,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002807,PUEBLO,81005,Hospice (Medicare),Hospice,38.245239,-104.663116,HOSPICE
POINT (-104.663185 38.2470049998),3012,SANGRE DE CRISTO HOSPICE & PALLIATIVE CARE - INPATIENT FACILITY (17G548),SANGRE DE CRISTO HOSP & PALL CARE - INPATIENT FAC,1107 PUEBLO BOULEVARD WAY,"PUEBLO, CO 81005",PUEBLO,CO,81005,01-ACTIVE,f,,f,,0/10,PUEBLO,Ms AMY ROSE,(719) 542-0032,Amy Rose,(719) 821-0377,(719) 542-1486,amy.rose@socohospice.org,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002807,PUEBLO,81005,Hospice (Licensed),Hospice,38.247005,-104.663185,HSPLIC
POINT (-104.662437 38.2429310001),3013,BOONE GUEST HOME (10P527),BOONE GUEST HOME,1339 S PUEBLO BLVD,"PUEBLO, CO 81005",PUEBLO,CO,81005,01-ACTIVE,f,,f,,0/0,PUEBLO,Ms JONNA MCCLURE,(719) 564-0163,Jonna McClure,(719) 564-0163,(719) 564-0193,jjzmcclure@hotmail.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002807,PUEBLO,81005,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.242931,-104.662437,HCBS-IDD
POINT (-104.662437 38.2429310001),3014,DESTINY INCORPORATED (10E780),DESTINY INCORPORATED,1339 S PUEBLO BLVD,"PUEBLO, CO 81005",PUEBLO,CO,81005,01-ACTIVE,f,,f,,0/0,PUEBLO,Ms JONNA MCCLURE,(719) 564-0163,Jonna McClure,(719) 564-0163,,jjzmcclure@hotmail.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002807,PUEBLO,81005,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.242931,-104.662437,HCBS-IDD
POINT (-104.667938 38.2410049997),3015,SPECTRUM COMMUNITY SERVICES (10U170),SPECTRUM COMMUNITY SERVICES,105 LEHIGH AVE.,"PUEBLO, CO 81003",PUEBLO,CO,81003,01-ACTIVE,f,,f,,0/0,PUEBLO,THEODORE HERNANDEZ,(719) 545-4057,Ted Hernandez,(719) 545-4057,,ted@spectrumnow.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002807,PUEBLO,81005,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.241005,-104.667938,HCBS-IDD
POINT (-104.663048 38.2469330001),3016,IN HARMONY LLC (10F492),IN HARMONY LLC,1112 PUEBLO BLVD WAY SPACE B,"PUEBLO, CO 81005",PUEBLO,CO,81005,01-ACTIVE,f,,f,,0/0,PUEBLO,Ms KARMEN MONTES,(719) 994-9923,,,(866) 731-8774,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002807,PUEBLO,81005,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.246933,-104.663048,HCBS-IDD
POINT (-104.547302 38.2274669997),3017,MESA HOME (05J549),MESA HOME,1612 DELPHIL,"PUEBLO, CO 81006",PUEBLO,CO,81006,01-ACTIVE,f,,f,,6/6,PUEBLO,JONI WOLFE,(719) 583-0119,Joni Wolfe,(719) 251-7493,(719) 253-0075,jwcareinc@aol.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101003106,PUEBLO,81006,Residential Care Facility for persons with developmental disabilities,Disability Care,38.227467,-104.547302,RCF-DD
POINT (-104.605194 38.2517850003),3018,"B-4 DAY PROGRAM AND RESIDENTIAL SERVICES, INC (10T746)","B-4 DAY PROGRAM AND RESIDENTIAL SERVICES, INC.",110 SANTA FE DRIVE,"PUEBLO, CO 81006",PUEBLO,CO,81006,01-ACTIVE,f,,f,,0/0,PUEBLO,Ms JOYCE ARMSTRONG,(719) 542-2688,Joyce Armstrong,,,b4services@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002000,PUEBLO,81006,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.251785,-104.605194,HCBS-IDD
POINT (-104.572502 38.2494200002),3019,COLORADO ALTERNATIVE RESIDENTIAL ENTERPRISES (10R503),COLORADO ALTERNATIVE RESIDENTIAL ENTERPRISES,1950 ASPEN CIRCLE,"PUEBLO, CO 81006",PUEBLO,CO,81006,01-ACTIVE,f,,f,,0/0,PUEBLO,Ms JONI WOLFE,(719) 253-0095,Joni Wolfe,(719) 253-0095,,jwcareinc@aol.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101003103,PUEBLO,81006,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.24942,-104.572502,HCBS-IDD
POINT (-104.752129 38.3103260002),3020,272 HARMONY DRIVE (0506H7),272 HARMONY DRIVE,272 HARMONY DRIVE,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,8/8,PUEBLO,Ms JODI MERRILL-BRANDT,(719) 547-2366,manager on call,(719) 562-5895,(719) 585-4030,vmspeedie@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002916,PUEBLO,81007,Residential Care Facility for persons with developmental disabilities,Disability Care,38.310326,-104.752129,RCF-DD
POINT (-104.751976 38.3102339997),3021,268 HARMONY DRIVE (0506Z9),268 HARMONY DRIVE,268 HARMONY DR,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,8/8,PUEBLO,Ms JODI MERRILL-BRANDT,(303) 866-2222,manager on call,(719) 568-5895,(719) 585-4030,vmspeedie@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002916,PUEBLO,81007,Residential Care Facility for persons with developmental disabilities,Disability Care,38.310234,-104.751976,RCF-DD
POINT (-104.749069 38.3147579998),3022,"TAMMY AND MARTYS COZY ADULT CARE HOME II, LLC (23D457)","TAMMY AND MARTYS COZY ADULT CARE HOME II, LLC",523 WEST COKEDALE DRIVE,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,t,63134586,8/15,PUEBLO,Mr JOHN REDMOND,(719) 566-1189,Tammy Redmond,(719) 566-1189,(719) 566-1189,rmtammy1006@msn.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002916,PUEBLO,81007,Assisted Living Residence,Assisted Living Residence/Nursing Home,38.314758,-104.749069,ALR/ACF
POINT (-104.748947 38.3125500001),3023,PUEBLO REGIONAL CENTER (10L341),PUEBLO REGIONAL CENTER,270 W JOHN POWELL BLVD,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,0/0,PUEBLO,Ms CINDY COX,(719) 585-4001,,,(719) 585-4030,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002916,PUEBLO,81007,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.31255,-104.748947,HCBS-IDD
POINT (-104.734924 38.3243059999),3024,198 E GALATEA (0506AT),198 E GALATEA,198 E GALATEA DRIVE,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,8/8,PUEBLO,Ms JODI MERRILL-BRANDT,(719) 585-4001,Manager on call,(719) 568-5895,(719) 585-4030,vmspeedie@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002914,PUEBLO,81007,Residential Care Facility for persons with developmental disabilities,Disability Care,38.324306,-104.734924,RCF-DD
POINT (-104.716461 38.3157689998),3025,496 S LATIMER (0506CR),496 S LATIMER,496 S LATIMER DRIVE,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,8/8,PUEBLO,Ms JODI MERRILL-BRANDT,(719) 547-3538,Manager on call,(719) 568-5895,(719) 585-4030,vmspeedie@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002914,PUEBLO,81007,Residential Care Facility for persons with developmental disabilities,Disability Care,38.315769,-104.716461,RCF-DD
POINT (-104.730377 38.322571),3026,330 E HAHNS PEAK (0506UI),330 E HAHNS PEAK,330 E HAHNS PEAK DR,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,8/8,PUEBLO,Ms JODI MERRILL-BRANDT,(719) 585-4001,,(719) 585-5895,(719) 585-4030,vmspeedie@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002914,PUEBLO,81007,Residential Care Facility for persons with developmental disabilities,Disability Care,38.322571,-104.730377,RCF-DD
POINT (-104.716118 38.3120990003),3027,614 S CLARION (0506XL),614 S CLARION,614 S CLARION DR,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,8/8,PUEBLO,Ms JODI MERRILL-BRANDT,(303) 866-2222,Manager on call,(719) 568-5895,(719) 585-4030,vmspeedie@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002914,PUEBLO,81007,Residential Care Facility for persons with developmental disabilities,Disability Care,38.312099,-104.716118,RCF-DD
POINT (-104.721214 38.3111759999),3028,416 E MAHER DR (0506Q3),416 E MAHER DR,416 E MAHER DRIVE,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,8/8,PUEBLO,Ms JODI MERRILL-BRANDT,(719) 547-2348,Manager on call,(719) 568-5895,(719) 585-4030,vmspeedie@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002914,PUEBLO,81007,Residential Care Facility for persons with developmental disabilities,Disability Care,38.311176,-104.721214,RCF-DD
POINT (-104.703094 38.3173790001),3029,PUEBLO WEST GARDENS ASSISTED LIVING (23Z781),PUEBLO WEST GARDENS ASSISTED LIVING,960 E SAXONY DRIVE,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,t,22682554,65/65,PUEBLO,DALYNN (DENNI) JORDAN,(719) 924-8624,Dalynn Jordan,(719) 248-2469,(719) 924-8993,dennipwg@gmail.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002914,PUEBLO,81007,Assisted Living Residence,Assisted Living Residence/Nursing Home,38.317379,-104.703094,ALR/ACF
POINT (-104.744774 38.3167039998),3030,SOARING EAGLES CENTER FOR AUTISM (04F488),SOARING EAGLES CENTER FOR AUTISM,125 W PALMER LAKE DR,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,0/0,PUEBLO,KAREN COLVIN,(719) 547-8803,KAREN COLVIN,(719) 547-8803,(719) 547-8806,kyceagle@gmail.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002914,PUEBLO,81007,Home Health Care - Persons with intellectual and developmental disabilities,Home Health,38.316704,-104.744774,HCA-IDD
POINT (-104.744774 38.3167039998),3031,SOARING EAGLES CENTER FOR AUTISM (10A429),SOARING EAGLES CENTER FOR AUTISM,125 WEST PALMER LAKE,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,0/0,PUEBLO,KAREN COLVIN,(719) 547-8803,Karen Colvin,(719) 547-8803,,kyceagle@gmail.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002914,PUEBLO,81007,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.316704,-104.744774,HCBS-IDD
POINT (-104.728111 38.308819),3032,AUTISM ADVOCATES OF SOUTHERN COLORADO (10Z827),AUTISM ADVOCATES OF SOUTHERN COLORADO,271 EAST BOND DRIVE,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,0/0,PUEBLO,Ms JODI MARTINEZ MAGALLANES,(719) 924-4356,,,(303) 999-9999,AutismAdvocatesofSouthernColo@gmail.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002914,PUEBLO,81007,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.308819,-104.728111,HCBS-IDD
POINT (-104.735268 38.328945),3033,183 S WIGGINS (05068L),183 S WIGGINS,183 S WIGGINS DR,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,8/8,PUEBLO,Ms JODI MERRILL-BRANDT,(303) 585-4001,Manager on Call,(719) 568-5895,(719) 585-4030,vmspeedie@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002912,PUEBLO,81007,Residential Care Facility for persons with developmental disabilities,Disability Care,38.328945,-104.735268,RCF-DD
POINT (-104.721245 38.3223109998),3034,262 S BAYFIELD (0506X8),262 S BAYFIELD,262 S BAYFIELD AVE,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,8/8,PUEBLO,Ms JODI MERRILL-BRANDT,(719) 585-4001,Manager on call,(719) 568-5895,(719) 585-4030,vmspeedie@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002912,PUEBLO,81007,Residential Care Facility for persons with developmental disabilities,Disability Care,38.322311,-104.721245,RCF-DD
POINT (-104.738914 38.3315539999),3035,CAPPELLA OF PUEBLO WEST (2306FN),CAPPELLA OF PUEBLO WEST,170 S DACONA DR,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,t,11527757,56/56,PUEBLO,Ms CAROLYN SPEAR,(719) 547-2538,Carolyn Spear,(719) 369-6016,(719) 547-8294,carolynspear@gmail.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002912,PUEBLO,81007,Assisted Living Residence,Assisted Living Residence/Nursing Home,38.331554,-104.738914,ALR/ACF
POINT (-104.709938 38.3190990001),3036,COLUMBINE CHATEAU ASSISTED LIVING (23D501),COLUMBINE CHATEAU ASSISTED LIVING,720 E SPRINGMONT DRIVE,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,12/24,PUEBLO,Ms AMANDA COLE,(719) 566-1185,Chery Lucero,,(719) 404-4158,lemoncheri2002@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002912,PUEBLO,81007,Assisted Living Residence,Assisted Living Residence/Nursing Home,38.319099,-104.709938,ALR/ACF
POINT (-104.72052 38.2993349998),3037,"OASIS, THE (23E471)","OASIS, THE",972 S PURCELL BLVD,"PUEBLO, CO 81001",PUEBLO,CO,81001,01-ACTIVE,f,,f,,10/10,PUEBLO,Ms BECKY IDLER,(719) 547-3109,,,(719) 547-3139,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002917,PUEBLO,81007,Assisted Living Residence,Assisted Living Residence/Nursing Home,38.299335,-104.72052,ALR/ACF
POINT (-104.764008 38.3057669999),3038,895 S BELLFLOWER (0506OR),895 S BELLFLOWER,895 S BELLFLOWER DRIVE,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,8/8,PUEBLO,Ms JODI MERRILL-BRANDT,(719) 547-2461,Manager On Call,(719) 568-5895,(719) 585-4030,vmspeedie@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002915,PUEBLO,81007,Residential Care Facility for persons with developmental disabilities,Disability Care,38.305767,-104.764008,RCF-DD
POINT (-104.764214 38.3059619997),3039,887 S BELLFLOWER (0506Z3),887 S BELLFLOWER,887 S BELLFLOWER DR,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,8/8,PUEBLO,Ms JODI MERRILL-BRANDT,(719) 547-2338,Manager on call,(719) 568-5895,(719) 585-4030,vmspeedie@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002915,PUEBLO,81007,Residential Care Facility for persons with developmental disabilities,Disability Care,38.305962,-104.764214,RCF-DD
POINT (-104.701027 38.3275719997),3040,PARKVIEW EMERGENCY SERVICES AT PUEBLO WEST (18I145),PARKVIEW EMERGENCY SERVICES AT PUEBLO WEST,899 E INDUSTRIAL BLVD,"PUEBLO, CO 81007",PUEBLO,CO,81007,01-ACTIVE,f,,f,,0/3,PUEBLO,Ms LESLIE BARNES,(719) 288-2100,,,(719) 288-2199,mike_baxter@parkviewmc.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002918,PUEBLO,81007,Community Clinic/Emergency,Clinic,38.327572,-104.701027,CCEC
POINT (-104.738014 38.3382419999),3041,FRESENIUS MEDICAL CARE PUEBLO WEST DIALYSIS (12L114),FRESENIUS MEDICAL CARE PUEBLO WEST DIALYSIS,73 N ASPEN SKI WAY,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,t,062568,f,,13/13,PUEBLO,DORA HUFFORD (ADMIN),(719) 547-3888,Bernice Hubright,,(719) 547-3353,bernice.hubright@fmc-na.com or dora.hufford@fmc-na.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002918,PUEBLO,81007,End Stage Renal Disease Facility,End Stage Renal Disease,38.338242,-104.738014,ESRD
POINT (-104.684265 38.3762509999),3042,"SECURING OUR SENIORS, LLC (10R115)","SECURING OUR SENIORS, LLC",1176 E CANARY DR,"PUEBLO WEST, CO 81007",PUEBLO WEST,CO,81007,01-ACTIVE,f,,f,,0/0,PUEBLO,Mr STEVEN NOELLER,(719) 568-0970,Steven Noeller,(719) 568-0970,,amalifeline@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002918,PUEBLO,81007,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.376251,-104.684265,HCBS-IDD
POINT (-104.62487 38.3124390002),3043,ROCKY MOUNTAIN LASER AND SURGERY CENTER (16069R),ROCKY MOUNTAIN LASER AND SURGERY CENTER,1402 FORTINO BLVD W,"PUEBLO, CO 81008",PUEBLO,CO,81008,01-ACTIVE,t,06C0001050,t,90488032,0/0,PUEBLO,Ms CHANTEL CLERMONT,(719) 583-8700,Chantel Clermont,(719) 583-8700,(719) 583-9700,landc@amsurg.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002903,PUEBLO,81008,Ambulatory Surgical Center,Surgery or Transplant,38.312439,-104.62487,ASC
POINT (-104.619911 38.3205150002),3044,COMPLETE HOME HEALTH CARE LLC (04R267),COMPLETE HOME HEALTH CARE LLC,805 EAGLERIDGE BLVD STE 160,"PUEBLO, CO 81008",PUEBLO,CO,81008,01-ACTIVE,t,067338,t,47335742,0/0,PUEBLO,Ms BARBARA CICCONE,(719) 546-2610,Diedra Daugherty,(719) 546-2610,(719) 546-2615,diedra@completehhc.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002903,PUEBLO,81008,Home Health Agency - Medicare/Medicaid,Home Health,38.320515,-104.619911,HHA-1819
POINT (-104.619911 38.3205150002),3045,COMPLETE HOME HEALTH CARE LLC (10R125),COMPLETE HOME HEALTH CARE LLC,805 EAGLERIDGE BLVD STE 160,"PUEBLO, CO 81008",PUEBLO,CO,81008,01-ACTIVE,f,,t,28188357,0/0,PUEBLO,Ms ERINBETH CRABTREE,(719) 546-2610,Diedra Daugherty,(719) 250-8196,(719) 546-2615,diedra@completehhc.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002903,PUEBLO,81008,Home Health Agency - HCA license - personal care homemaker,Home Health,38.320515,-104.619911,HCA-PHS
POINT (-104.618225 38.3214190003),3046,"FRONTIER HOSPICE, LLC (17E478)","FRONTIER HOSPICE, LLC",4718 N ELIZABETH ST STE A,"PUEBLO, CO 81008",PUEBLO,CO,81008,01-ACTIVE,t,061554,t,16889355,0/0,PUEBLO,Ms ANDREA SHIRLEY,(719) 544-5891,Larry Russell,(719) 360-3090,(719) 544-5895,lrussell@froniterhospice.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002903,PUEBLO,81008,Hospice (Medicare),Hospice,38.321419,-104.618225,HOSPICE
POINT (-104.620018 38.3202780001),3047,US RENAL CARE PUEBLO DIALYSIS (12O238),US RENAL CARE PUEBLO DIALYSIS,850 EAGLERIDGE BLVD,"PUEBLO, CO 81008",PUEBLO,CO,81008,01-ACTIVE,t,062560,t,2224887,18/18,PUEBLO,Ms DANIELLE WRIGHT,(719) 253-5980,Michael Hunke,(719) 253-5980,(719) 583-0833,mhunke@libertydialysis.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002903,PUEBLO,81008,End Stage Renal Disease Facility,End Stage Renal Disease,38.320278,-104.620018,ESRD
POINT (-104.622253 38.3202440001),3048,INDEPENDENT HEARTS HOME CARE INC (04Z402),INDEPENDENT HEARTS HOME CARE INC,1050 EAGLERIDGE BLVD,"PUEBLO, CO 81008",PUEBLO,CO,81008,01-ACTIVE,f,,f,,0/0,PUEBLO,Ms DOROTHY CARSTEN,(719) 547-2777,Dorothy Carsten,(719) 547-2777,(719) 647-0763,dorothy@independentheartshc.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8101002903,PUEBLO,81008,Home Health Agency - HCA license - personal care homemaker,Home Health,38.320244,-104.622253,HCA-PHS
